/* LOCATION UPDATES */

USERID,CONTRACT,LOCATION_NO,ACCESS_TYPE,ACCESS_TYPE_DB
RVDILK,GRI01,EN2-Q-2-5,Edit,EDIT
RVDILK,GRI01,EN2-Q-3-1,Edit,EDIT
RVDILK,GRI01,EN2-Q-3-2,Edit,EDIT
RVDILK,GRI01,EN2-Q-3-3,Edit,EDIT
RVDILK,GRI01,EN2-Q-3-4,Edit,EDIT
RVDILK,GRI01,EN2-Q-3-5,Edit,EDIT
RVDILK,GRI01,EN2-Q-4-1,Edit,EDIT
RVDILK,GRI01,EN2-Q-4-2,Edit,EDIT
RVDILK,GRI01,EN2-Q-4-3,Edit,EDIT
RVDILK,GRI01,EN2-Q-4-4,Edit,EDIT
RVDILK,GRI01,EN2-Q-4-5,Edit,EDIT
RVDILK,GRI01,EN2-R-1-1,Edit,EDIT
RVDILK,GRI01,EN2-R-1-2,Edit,EDIT
RVDILK,GRI01,EN2-R-1-3,Edit,EDIT
RVDILK,GRI01,EN2-R-1-4,Edit,EDIT
RVDILK,GRI01,EN2-R-1-5,Edit,EDIT
RVDILK,GRI01,EN2-R-2-1,Edit,EDIT
RVDILK,GRI01,EN2-R-2-2,Edit,EDIT
RVDILK,GRI01,EN2-R-2-3,Edit,EDIT
RVDILK,GRI01,EN2-R-2-4,Edit,EDIT
RVDILK,GRI01,EN2-R-2-5,Edit,EDIT
RVDILK,GRI01,EN2-R-3-1,Edit,EDIT
RVDILK,GRI01,EN2-R-3-2,Edit,EDIT
RVDILK,GRI01,EN2-R-3-3,Edit,EDIT
RVDILK,GRI01,EN2-R-3-4,Edit,EDIT
RVDILK,GRI01,EN2-R-3-5,Edit,EDIT
RVDILK,GRI01,EN2-R-4-1,Edit,EDIT
RVDILK,GRI01,EN2-R-4-2,Edit,EDIT
RVDILK,GRI01,EN2-R-4-3,Edit,EDIT
RVDILK,GRI01,EN2-R-4-4,Edit,EDIT
RVDILK,GRI01,EN2-R-4-5,Edit,EDIT
RVDILK,GRI01,EN2-S-1-1,Edit,EDIT
RVDILK,GRI01,EN2-S-1-2,Edit,EDIT
RVDILK,GRI01,EN2-S-1-3,Edit,EDIT
RVDILK,GRI01,EN2-S-1-4,Edit,EDIT
RVDILK,GRI01,EN2-S-1-5,Edit,EDIT
RVDILK,GRI01,EN2-S-2-1,Edit,EDIT
RVDILK,GRI01,EN2-S-2-2,Edit,EDIT
RVDILK,GRI01,EN2-S-2-3,Edit,EDIT
RVDILK,GRI01,EN2-S-2-4,Edit,EDIT
RVDILK,GRI01,EN2-S-2-5,Edit,EDIT
RVDILK,GRI01,EN2-S-3-1,Edit,EDIT
RVDILK,GRI01,EN2-S-3-2,Edit,EDIT
RVDILK,GRI01,EN2-S-3-3,Edit,EDIT
RVDILK,GRI01,EN2-S-3-4,Edit,EDIT
RVDILK,GRI01,EN2-S-3-5,Edit,EDIT
RVDILK,GRI01,EN2-S-4-1,Edit,EDIT
RVDILK,GRI01,EN2-S-4-2,Edit,EDIT
RVDILK,GRI01,EN2-S-4-3,Edit,EDIT
RVDILK,GRI01,EN2-S-4-4,Edit,EDIT
RVDILK,GRI01,EN2-S-4-5,Edit,EDIT
RVDILK,GRI01,EN2-T-1-1,Edit,EDIT
RVDILK,GRI01,EN2-T-1-2,Edit,EDIT
RVDILK,GRI01,EN2-T-1-3,Edit,EDIT
RVDILK,GRI01,EN2-T-1-4,Edit,EDIT
RVDILK,GRI01,EN2-T-1-5,Edit,EDIT
RVDILK,GRI01,EN2-T-2-1,Edit,EDIT
RVDILK,GRI01,EN2-T-2-2,Edit,EDIT
RVDILK,GRI01,EN2-T-2-3,Edit,EDIT
RVDILK,GRI01,EN2-T-2-4,Edit,EDIT
RVDILK,GRI01,EN2-T-2-5,Edit,EDIT
RVDILK,GRI01,EN2-T-3-1,Edit,EDIT
RVDILK,GRI01,EN2-T-3-2,Edit,EDIT
RVDILK,GRI01,EN2-T-3-3,Edit,EDIT
RVDILK,GRI01,EN2-T-3-4,Edit,EDIT
RVDILK,GRI01,EN2-T-3-5,Edit,EDIT
RVDILK,GRI01,EN2-T-4-1,Edit,EDIT
RVDILK,GRI01,EN2-T-4-5,Edit,EDIT
RVDILK,GRI01,EN2-T-4-2,Edit,EDIT
RVDILK,GRI01,EN2-T-4-3,Edit,EDIT
RVDILK,GRI01,EN2-T-4-4,Edit,EDIT
RVDILK,GRI01,EN2-U-1-1,Edit,EDIT
RVDILK,GRI01,EN2-U-1-2,Edit,EDIT
RVDILK,GRI01,EN2-U-1-3,Edit,EDIT
RVDILK,GRI01,EN2-U-1-4,Edit,EDIT
RVDILK,GRI01,EN2-U-1-5,Edit,EDIT
RVDILK,GRI01,EN2-U-2-1,Edit,EDIT
RVDILK,GRI01,EN2-U-2-2,Edit,EDIT
RVDILK,GRI01,EN2-U-2-3,Edit,EDIT
RVDILK,GRI01,EN2-U-2-4,Edit,EDIT
RVDILK,GRI01,EN2-U-2-5,Edit,EDIT
RVDILK,GRI01,EN2-U-3-1,Edit,EDIT
RVDILK,GRI01,EN2-U-3-2,Edit,EDIT
RVDILK,GRI01,EN2-U-3-3,Edit,EDIT
RVDILK,GRI01,EN2-U-3-4,Edit,EDIT
RVDILK,GRI01,EN2-U-3-5,Edit,EDIT
RVDILK,GRI01,EN2-U-4-1,Edit,EDIT
RVDILK,GRI01,EN2-U-4-2,Edit,EDIT
RVDILK,GRI01,EN2-U-4-3,Edit,EDIT
RVDILK,GRI01,EN2-U-4-4,Edit,EDIT
RVDILK,GRI01,EN2-U-4-5,Edit,EDIT
RVDILK,GRI01,EN2MTR,Edit,EDIT
RVDILK,GRI01,EN2OAC,Edit,EDIT
RVDILK,GRI01,EN3MTR,Edit,EDIT
RVDILK,GRI01,MKDMTR,Edit,EDIT
RVDILK,GRI01,PMGF-OT,Edit,EDIT
RVDILK,GRI01,EN2D01,Edit,EDIT
RVDILK,GRI01,EN2A01,Edit,EDIT
RVDILK,GRI01,EN2B01,Edit,EDIT
